OBSERVATIONS

Stations
  Stnr Name          Operates from Operates until Altitude Latitude Longitude Region/Country                                                                          
 99790 ISFJORD RADIO Sep 1934                            7  78.0625   13.6192 NORWAY                                                       


Elements
 Code  Name                                Unit               
 DD    Wind direction (FF)                 degrees                            
 FF    Wind speed (10 meters above ground) m/s                                            
 PO    Air pressure at station level       hPa                                      
 RR_12 Precipitation (12 hours)            mm                                    
 RR_24 Precipitation (24 hours)            mm                                    
 TA    Air temperature                     degC                        
 TSS   Temperature                         degC                     


Coordinated Universal Time (UTC) is the time by the Prime Meridian and is the successor to the hour Greenwich Mean Time (GMT). It is 1 hour after Norwegian Mean Time (NMT) and 2 hours after the Norwegian summer time. UTC gives the hours from 00 to 23.
****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain' (Level 5 or more).
********************************************

 St.no Year Mnth Date Time(UTC)     PO  RR_12  RR_24    TA    TSS     DD     FF                                               
 99790 2014    9    9        18  997.8 -999.5 -999.5   2.7 -999.5    197    1.2                                             
 99790 2014    9   10         0  999.7 -999.5 -999.5   1.8 -999.5    198    1.9                                             
 99790 2014    9   10         6 1000.1 -999.5 -999.5   1.5 -999.5     95    2.0                                             
 99790 2014    9   10        12  999.2 -999.5 -999.5   3.0 -999.5    274    0.8                                              
 99790 2014    9   10        18  998.6 -999.5 -999.5   1.7 -999.5     64    2.3                                             
 99790 2014    9   11         0  998.6 -999.5 -999.5   1.1 -999.5     16    0.8                                            
 99790 2014    9   11         6  996.1 -999.5 -999.5   2.0 -999.5    290    2.4                                             
 99790 2014    9   11        12  996.0 -999.5 -999.5   2.8 -999.5    271    3.8                                              
 99790 2014    9   11        18  999.3 -999.5 -999.5   2.8 -999.5    194    1.2                                              
 99790 2014    9   12         0 1004.1 -999.5 -999.5   2.4 -999.5    196    1.4                                              
 99790 2014    9   12         6 1006.9 -999.5 -999.5   1.8 -999.5     65    2.0                                             
 99790 2014    9   12        12 1009.4 -999.5 -999.5   2.9 -999.5     78    2.0                                              
 99790 2014    9   12        18 1006.0 -999.5 -999.5   5.5 -999.5     58   10.9                                               
 99790 2014    9   13         0 1001.9 -999.5 -999.5   6.5 -999.5     60   10.7                                              
 99790 2014    9   13         6  994.1 -999.5 -999.5   6.9 -999.5     60   11.8                                             
 99790 2014    9   13        12  984.2 -999.5 -999.5   7.5 -999.5     55    7.6                                             
 99790 2014    9   13        18  983.1 -999.5 -999.5   4.0 -999.5    197    1.3                                              
 99790 2014    9   14         0  988.4 -999.5 -999.5   1.6 -999.5    197    3.7                                             
 99790 2014    9   14         6  996.4 -999.5 -999.5   0.2 -999.5    197    4.1                                             
 99790 2014    9   14        12 1004.9 -999.5 -999.5   0.5 -999.5    197    3.0                                               
 99790 2014    9   14        18 1008.6 -999.5 -999.5   1.3 -999.5    198    2.1                                               
 99790 2014    9   15         0 1010.9 -999.5 -999.5   1.5 -999.5    108    0.9                                              
 99790 2014    9   15         6 1013.5 -999.5 -999.5   1.2 -999.5     44    2.7                                             
 99790 2014    9   15        12 1015.9 -999.5 -999.5   3.5 -999.5    286    1.9                                               
 99790 2014    9   15        18 1015.9 -999.5 -999.5   3.9 -999.5     69    2.1                                              
 99790 2014    9   16         0 1013.2 -999.5 -999.5   3.2 -999.5    267    5.0                                              
 99790 2014    9   16         6 1009.6 -999.5 -999.5   6.7 -999.5     58   10.1                                              
 99790 2014    9   16        12 1006.5 -999.5 -999.5   6.8 -999.5     60   11.1                                               
 99790 2014    9   16        18 1005.0 -999.5 -999.5   5.3 -999.5     60    8.6                                              
 99790 2014    9   17         0 1001.7 -999.5 -999.5   4.2 -999.5     81    6.3                                             
 99790 2014    9   17         6 1000.7 -999.5 -999.5   0.0 -999.5     97    2.9                                             
 99790 2014    9   17        12 1002.1 -999.5 -999.5   0.2 -999.5    199    2.9                                               
 99790 2014    9   17        18 1004.3 -999.5 -999.5  -0.6 -999.5    196    5.1                                                
 99790 2014    9   18         0 1005.0 -999.5 -999.5  -0.1 -999.5    196    4.2                                               
 99790 2014    9   18         6 1005.0 -999.5 -999.5   0.2 -999.5    197    3.7                                              
 99790 2014    9   18        12 1005.4 -999.5 -999.5   0.3 -999.5    197    4.4                                               
 99790 2014    9   18        18 1005.4 -999.5 -999.5   0.1 -999.5    197    4.7                                               
 99790 2014    9   19         0 1003.1 -999.5 -999.5  -0.2 -999.5    198    4.2                                               
 99790 2014    9   19         6 1001.6 -999.5 -999.5  -0.6 -999.5    196    4.1                                               
 99790 2014    9   19        12 1002.2 -999.5 -999.5  -0.8 -999.5    198    4.5                                                
 99790 2014    9   19        18 1001.8 -999.5 -999.5  -1.0 -999.5    213    4.1                                                
 99790 2014    9   20         0 1002.1 -999.5 -999.5  -0.6 -999.5    222    4.8                                               
 99790 2014    9   20         6 1003.6 -999.5 -999.5  -0.8 -999.5    272    4.9                                               
 99790 2014    9   20        12 1005.5 -999.5 -999.5  -0.3 -999.5    266    7.4                                                
 99790 2014    9   20        18 1008.0 -999.5 -999.5  -0.2 -999.5    251    4.6                                                
 99790 2014    9   21         0 1009.4 -999.5 -999.5  -0.1 -999.5    262    4.7                                               
 99790 2014    9   21         6 1011.3 -999.5 -999.5  -0.5 -999.5    268    5.3                                               
