OBSERVATIONS

Stations
  Stnr Name              Operates from Operates until Altitude Latitude Longitude Region/Country                                                                          
 99840 SVALBARD LUFTHAVN Oct 1964                           28  78.2453   15.5015 NORWAY                                                            


Elements
 Code  Name                                Unit               
 DD    Wind direction (FF)                 degrees                            
 FF    Wind speed (10 meters above ground) m/s                                            
 PO    Air pressure at station level       hPa                                      
 RR_12 Precipitation (12 hours)            mm                                    
 RR_24 Precipitation (24 hours)            mm                                    
 TA    Air temperature                     degC                        
 TSS   Temperature                         degC                     


Coordinated Universal Time (UTC) is the time by the Prime Meridian and is the successor to the hour Greenwich Mean Time (GMT). It is 1 hour after Norwegian Mean Time (NMT) and 2 hours after the Norwegian summer time. UTC gives the hours from 00 to 23.
****************** NOTE *****************
Datavalue marked x means not access or that the quality is 'Very uncertain' (Level 5 or more).
********************************************

 St.no Year Mnth Date Time(UTC)     PO  RR_12  RR_24    TA    TSS     DD   FF                                               
 99840 2009    3   24         0 1010.3 -999.5 -999.5 -28.1 -999.5    125  2.5                                                
 99840 2009    3   24         6 1009.5      . -999.5 -27.4 -999.5    117  3.2                                           
 99840 2009    3   24        12 1009.5 -999.5 -999.5 -27.7 -999.5    134  4.4                                                 
 99840 2009    3   24        18 1009.0      . -999.5 -30.5 -999.5    127  4.4                                            
 99840 2009    3   25         0 1007.6 -999.5 -999.5 -23.8 -999.5    132  3.8                                                
 99840 2009    3   25         6 1005.8    0.2 -999.5 -14.6 -999.5    107  8.1                                             
 99840 2009    3   25        12 1006.1 -999.5 -999.5 -13.0 -999.5    125  8.5                                                 
 99840 2009    3   25        18 1006.4      . -999.5 -14.2 -999.5    131 12.5                                             
 99840 2009    3   26         0 1006.0 -999.5 -999.5 -12.9 -999.5    143  9.6                                                
 99840 2009    3   26         6 1005.7    0.0 -999.5 -11.9 -999.5    124 13.0                                              
 99840 2009    3   26        12 1004.4 -999.5 -999.5 -12.0 -999.5    122  8.3                                                 
 99840 2009    3   26        18 1002.2    0.0 -999.5 -10.6 -999.5    106 11.8                                               
 99840 2009    3   27         0 1000.3 -999.5 -999.5 -12.3 -999.5    143 14.9                                                 
 99840 2009    3   27         6  999.1    1.3 -999.5 -11.0 -999.5    139 10.9                                             
 99840 2009    3   27        12  999.8 -999.5 -999.5  -8.7 -999.5    174  7.9                                               
 99840 2009    3   27        18 1000.0    1.4 -999.5  -6.9 -999.5    133  4.5                                             
